id_i,id_j,scie,sex,rep,age,grd,ses,dep,ctry
7602399,7600003,518.397,0,NA,15.166666666666666,11,NA,NA,BRA
7614059,7600003,446.574,0,NA,15.833333333333334,11,NA,NA,BRA
7627351,7600003,525.084,1,NA,15.25,11,NA,NA,BRA
7619482,7600003,438.74,1,NA,15.583333333333334,11,NA,NA,BRA
7630002,7600003,414.997,0,NA,16,10,NA,NA,BRA
7625992,7600003,433.493,0,0,15.75,10,-1.1395,NA,BRA
7628033,7600003,441.256,0,NA,15.5,10,NA,NA,BRA
7625602,7600003,321.571,0,NA,15.25,10,NA,NA,BRA
7606235,7600003,383.159,0,NA,16,10,NA,NA,BRA
7629667,7600003,496.692,1,NA,15.75,11,NA,NA,BRA
7619565,7600003,433.616,1,NA,15.333333333333334,11,NA,NA,BRA
7604882,7600004,407.098,0,1,15.25,10,-2.6198,0,BRA
7621008,7600004,346.754,0,1,15.583333333333334,10,-2.5112,0,BRA
7608660,7600004,337.257,1,0,16,10,-1.5362,0,BRA
7625884,7600004,370.727,1,1,15.083333333333334,10,-0.9797,0,BRA
7630271,7600004,336.68,1,1,15.416666666666666,10,-2.7936,0,BRA
7607562,7600004,392.631,1,0,15.75,10,-2.5301,0,BRA
7625439,7600004,344.205,0,1,16,10,-0.8294,0,BRA
7626067,7600004,506.357,0,0,16,10,-1.9245,0,BRA
7603261,7600004,348.678,0,1,15.583333333333334,10,-2.9592,0,BRA
7604771,7600004,377.411,1,0,15.666666666666666,11,0.0346,0,BRA
7610601,7600004,484.519,1,0,15.75,11,-3.0116,0,BRA
7627597,7600004,526.549,1,0,15.416666666666666,11,-1.6657,0,BRA
7613033,7600004,597.985,0,0,15.333333333333334,12,-1.762,0,BRA
7623778,7600004,458.785,0,0,15.916666666666666,12,-1.3162,0,BRA
7630120,7600004,567.876,1,0,15.416666666666666,12,-1.8935,0,BRA
7625269,7600004,542.537,0,0,15.75,11,-2.9648,0,BRA
7626819,7600004,470.333,0,0,15.083333333333334,11,-1.796,0,BRA
7600092,7600004,387.504,1,1,15.166666666666666,10,-2.7977,0,BRA
7607583,7600004,500.096,1,1,15.583333333333334,10,-0.5965,0,BRA
7615248,7600004,443.019,1,0,15.5,10,-2.6032,0,BRA
7626534,7600004,495.241,1,1,15.5,10,-2.4,0,BRA
7611704,7600004,443.631,0,0,15.5,11,-2.2721,0,BRA
7622858,7600004,364.601,0,0,15.666666666666666,11,-0.9589,0,BRA
7610252,7600004,466.598,0,0,15.416666666666666,11,-2.6414,0,BRA
7608355,7600004,385.933,0,0,15.416666666666666,11,-1.8027,0,BRA
7626066,7600004,466.863,0,0,15.916666666666666,11,-2.7006,0,BRA
7608471,7600004,473.34,0,0,15.75,11,-1.3465,0,BRA
7625069,7600004,530.704,0,0,15.666666666666666,11,-1.6243,0,BRA
7621333,7600004,432.613,1,0,15.833333333333334,11,-0.1498,0,BRA
7612535,7600004,463.336,1,0,15.333333333333334,11,1.2677,0,BRA
7624082,7600004,625.253,0,0,16,11,-0.8866,0,BRA
7620660,7600004,474.22,0,0,15.75,11,-2.6619,0,BRA
7613483,7600004,547.858,1,0,15.666666666666666,11,-2.5951,0,BRA
7604169,7600004,334.36,1,0,15.416666666666666,11,-2.281,0,BRA
7627793,7600005,306.323,0,1,15.083333333333334,8,-1.5734,0,BRA
7609582,7600005,309.158,0,1,15.416666666666666,9,-2.2004,0,BRA
7615100,7600005,364.686,0,1,15.5,10,-1.5187,0,BRA
7602002,7600005,333.776,0,0,15.75,10,-1.3897,0,BRA
7625270,7600005,209.75,0,0,15.583333333333334,10,-2.2107,0,BRA
7611408,7600005,362.835,1,0,16,10,-2.2033,0,BRA
7630288,7600005,427.2,1,0,16,10,-0.7507,0,BRA
7608798,7600005,331.906,1,1,15.166666666666666,10,-1.1428,0,BRA
7614280,7600005,439.304,1,1,15.166666666666666,10,-1.2589,0,BRA
7600688,7600005,284.26,1,1,15.75,9,-1.4182,0,BRA
7622728,7600005,334.214,0,1,15.083333333333334,10,-1.6743,0,BRA
7601013,7600005,266.503,0,0,15.25,10,-1.9311,0,BRA
7615782,7600005,431.575,0,1,15.333333333333334,10,0.1892,0,BRA
7619754,7600005,429.642,0,0,15.833333333333334,10,-2.2172,0,BRA
7627274,7600005,375.107,0,1,15.75,10,-0.2709,0,BRA
7601526,7600005,459.697,0,0,15.166666666666666,12,-1.8467,0,BRA
7625084,7600005,427.53,1,0,15.25,12,-2.7643,0,BRA
7606467,7600005,467.151,0,0,15.666666666666666,11,-0.1276,0,BRA
7602077,7600005,509.464,0,0,15.25,11,0.6137,0,BRA
7612976,7600005,339.073,0,0,15.25,11,-2.8861,0,BRA
7619169,7600005,287.61,0,1,15.166666666666666,11,-3.1893,0,BRA
7616085,7600005,306.955,0,NA,15.583333333333334,11,-2.9512,0,BRA
7629973,7600005,470.827,0,0,15.916666666666666,11,-3.2943,0,BRA
7619097,7600005,315.845,1,1,15.25,10,-3.0202,0,BRA
7628410,7600005,319.984,1,1,15.916666666666666,10,-2.2685,0,BRA
7614764,7600005,393.76,1,1,15.333333333333334,10,-0.3645,0,BRA
7610385,7600005,310.643,0,0,15.916666666666666,11,-2.2575,0,BRA
7604593,7600005,364.678,0,0,15.333333333333334,11,-2.9348,0,BRA
7617105,7600005,488.946,0,0,15.666666666666666,11,-1.3303,0,BRA
7601016,7600005,437.631,0,0,15.583333333333334,11,-2.6368,0,BRA
7626227,7600005,483.942,1,0,15.583333333333334,11,-2.3679,0,BRA
7605523,7600005,593.997,1,1,15.083333333333334,11,-2.1219,0,BRA
7605529,7600005,411.866,0,0,15.583333333333334,11,-0.5898,0,BRA
7616998,7600005,445.865,1,0,15.166666666666666,11,-3.4814,0,BRA
7627040,7600005,403.502,0,0,15.166666666666666,12,1.061,0,BRA
7618539,7600005,354.384,1,0,15.666666666666666,11,-0.953,0,BRA
7615345,7600005,480.624,1,0,15.75,11,-2.3784,0,BRA
7616061,7600006,558.886,0,0,16,11,0.8362,1,BRA
7629922,7600006,409.92,0,0,16,10,0.7815,1,BRA
7618693,7600006,593.45,0,0,15.666666666666666,11,0.9147,1,BRA
7608466,7600006,620.853,0,0,15.666666666666666,11,1.3976,1,BRA
7624188,7600006,627.527,0,0,15.416666666666666,11,-0.2021,1,BRA
7619620,7600006,520.19,0,0,15.5,11,1.4049,1,BRA
7606057,7600006,396.891,0,0,15.5,11,0.6394,1,BRA
7623361,7600006,433.911,0,0,15.416666666666666,11,1.1141,1,BRA
7606333,7600006,532.832,0,0,15.333333333333334,11,1.2083,1,BRA
7603717,7600006,452.396,0,0,15.916666666666666,10,0.0173,1,BRA
7603501,7600006,562.734,0,0,15.583333333333334,11,0.2635,1,BRA
7629126,7600006,473.37,0,1,15.083333333333334,10,1.3161,1,BRA
7628275,7600006,480.424,0,0,15.5,11,1.3461,1,BRA
7610749,7600006,474.43,0,1,16,10,1.3347,1,BRA
7624444,7600006,518.957,0,0,15.833333333333334,11,1.3642,1,BRA
7627748,7600006,554.518,0,0,15.166666666666666,11,0.9296,1,BRA
7624611,7600006,578.495,0,0,15.666666666666666,11,1.6141,1,BRA
7629491,7600006,417.114,0,0,15.666666666666666,11,0.936,1,BRA
7623547,7600006,577.751,0,0,15.916666666666666,10,0.9701,1,BRA
7621207,7600006,490.4,1,0,16,10,1.1647,1,BRA
7623096,7600006,408.278,1,0,15.416666666666666,11,1.1054,1,BRA
7616983,7600006,515.65,1,0,15.583333333333334,11,1.0201,1,BRA
7601967,7600006,510.602,1,0,15.833333333333334,11,0.6252,1,BRA
7600786,7600006,611.031,1,0,15.583333333333334,11,1.3694,1,BRA
7622837,7600006,466.465,1,0,15.083333333333334,10,0.8608,1,BRA
7605524,7600006,607.015,1,0,15.75,10,-0.7992,1,BRA
7610495,7600006,622.716,0,0,15.333333333333334,11,1.1407,1,BRA
7610991,7600006,446.804,0,0,15.416666666666666,11,0.1998,1,BRA
7623334,7600006,352.926,1,1,15.583333333333334,10,2.0435,1,BRA
7618652,7600006,553.821,1,0,15.333333333333334,11,0.3996,1,BRA
7610992,7600006,465.854,1,0,15.666666666666666,10,0.3372,1,BRA
7603205,7600006,444.636,1,0,16,10,-0.1368,1,BRA
7625328,7600006,616.628,1,0,15.833333333333334,11,0.4424,1,BRA
7618444,7600006,437.181,1,0,15.416666666666666,11,1.6135,1,BRA
7619667,7600006,541.477,1,0,15.416666666666666,11,0.712,1,BRA
7603811,7600006,523.027,1,0,15.166666666666666,11,1.4879,1,BRA
7617465,7600007,316.643,0,0,15.5,10,-2.6952,0,BRA
7627340,7600007,287.554,0,0,15.25,10,-1.5877,0,BRA
7617166,7600007,276.12,0,0,15.416666666666666,10,-2.364,0,BRA
7616162,7600007,384.935,0,1,15.5,10,-0.8875,0,BRA
7608432,7600007,490.567,0,1,15.5,10,-2.6383,0,BRA
7616432,7600007,435.784,0,0,15.083333333333334,10,-1.4963,0,BRA
7604015,7600007,438.21,1,1,15.666666666666666,10,-1.2976,0,BRA
7627985,7600007,372.321,1,1,15.25,10,-0.8745,0,BRA
7600123,7600007,394.262,1,1,16,10,-1.1222,0,BRA
7609669,7600007,352.539,1,1,15.5,10,-1.5878,0,BRA
7600005,7600007,317.104,1,0,15.333333333333334,10,-1.9039,0,BRA
7618968,7600007,437.052,1,0,16,10,-1.2486,0,BRA
7614384,7600007,284.891,1,1,15.833333333333334,10,-1.1169,0,BRA
7623271,7600007,388.416,0,0,15.083333333333334,11,-1.4985,0,BRA
7625501,7600007,454.663,0,0,15.916666666666666,11,-0.3587,0,BRA
7613231,7600007,404.063,0,0,15.166666666666666,11,0.0942,0,BRA
7630032,7600007,402.127,1,0,16,10,-1.5285,0,BRA
7621513,7600007,390.746,1,1,15.666666666666666,10,-1.2625,0,BRA
7622524,7600007,382.173,1,0,15.5,10,-0.2973,0,BRA
7602141,7600007,468.453,1,0,15.666666666666666,10,-1.4759,0,BRA
7601395,7600007,376.418,0,0,16,10,-1.125,0,BRA
7606905,7600007,334.961,0,0,15.583333333333334,10,-1.7726,0,BRA
7622424,7600007,409.863,0,1,15.333333333333334,10,-2.3457,0,BRA
7620327,7600007,497.731,1,0,15.416666666666666,11,-0.698,0,BRA
7607218,7600007,565.376,1,0,15.333333333333334,11,-0.6839,0,BRA
7615096,7600007,400.671,1,0,15.333333333333334,11,-2.3759,0,BRA
7609173,7600007,396.467,1,0,16,11,-1.6524,0,BRA
7620797,7600007,411.398,1,0,15.5,11,-0.1922,0,BRA
7620479,7600007,421.964,0,0,15.333333333333334,12,-1.4263,0,BRA
7605251,7600007,404.899,0,0,15.833333333333334,11,-1.2179,0,BRA
7625925,7600007,407.19,0,0,15.833333333333334,11,-0.9192,0,BRA
7617492,7600007,349.846,0,0,15.083333333333334,11,-0.2317,0,BRA
7630326,7600007,349.802,0,0,15.416666666666666,11,-0.3305,0,BRA
7605898,7600007,335.522,1,1,15.416666666666666,11,0.1489,0,BRA
7600751,7600008,369.135,0,0,15.166666666666666,7,NA,0,BRA
7607422,7600008,332.915,0,0,15.583333333333334,7,-1.2085,0,BRA
7612532,7600008,313.666,1,1,15.916666666666666,9,-2.4415,0,BRA
7617336,7600008,298.244,1,1,15.25,9,-1.1064,0,BRA
7612050,7600008,401.787,0,1,15.333333333333334,8,-3.3517,0,BRA
7603566,7600008,294.948,1,1,15.583333333333334,8,-1.9785,0,BRA
7616801,7600008,311.4,1,0,15.666666666666666,7,NA,0,BRA
7623458,7600008,386.15,1,0,15.333333333333334,7,-2.4449,0,BRA
7607797,7600008,336.269,1,1,15.916666666666666,8,-1.3137,0,BRA
7613096,7600008,252.493,1,1,15.5,8,-0.1334,0,BRA
7622604,7600009,394.255,0,1,15.5,7,-2.2842,NA,BRA
