id_i,ctry,sex,age,dem,dem_group,aut,civ,ses,edu,level,level_lab
54081,Mexico,1,13.33,1,minimalist,44.48,454,-1.1,0,1,level 1
53772,Mexico,1,13.92,3,limited,59.24,373.92,-1.04,0,0,level 0
57173,Mexico,1,14.33,1,minimalist,44.48,491.9,-0.37,0,2,level 2
56730,Mexico,1,13.33,1,minimalist,46.26,523.42,-0.52,0,2,level 2
57117,Mexico,1,14.92,1,minimalist,49.54,506.28,-0.94,0,2,level 2
58996,Mexico,1,13.33,3,limited,52.52,389.29,-1.07,0,0,level 0
57017,Mexico,1,14,3,limited,51.06,567.31,-1.24,0,3,level 3
54356,Mexico,0,13.83,3,limited,57.94,367.04,-0.1,0,0,level 0
55163,Mexico,1,13.92,3,limited,59.24,387.1,0.39,0,0,level 0
58641,Mexico,0,13.33,3,limited,46.26,375.1,-0.91,0,0,level 0
54860,Mexico,0,13.75,3,limited,60.54,341.22,-1.4,0,0,level 0
55185,Mexico,0,13.75,1,minimalist,44.48,452.44,-0.5,0,1,level 1
54303,Mexico,0,16,1,minimalist,57.94,487.41,-1.4,0,2,level 2
57393,Mexico,1,13.92,1,minimalist,27.06,553,-0.58,0,2,level 2
54157,Mexico,1,13.33,1,minimalist,57.94,418.05,-0.71,0,1,level 1
55812,Mexico,0,14.17,1,minimalist,66.28,480.34,-0.29,0,2,level 2
56912,Mexico,0,14.25,1,minimalist,40.44,462.06,1.43,1,1,level 1
58123,Mexico,1,14.58,3,limited,49.54,494.77,1.81,1,2,level 2
55904,Mexico,1,13.67,1,minimalist,17.67,633.91,0.19,0,3,level 3
57747,Mexico,0,13.92,1,minimalist,59.22,442.91,-0.5,0,1,level 1
56610,Mexico,0,14.33,3,limited,47.94,417.74,1.22,1,1,level 1
57521,Mexico,0,13.42,2,complex,47.94,447.22,-0.28,0,1,level 1
55056,Mexico,1,14.17,1,minimalist,52.52,520.76,-0.5,0,2,level 2
55349,Mexico,1,13.33,1,minimalist,49.54,328.46,-0.94,NA,0,level 0
58033,Mexico,1,13.33,1,minimalist,36.27,455.82,0.39,0,1,level 1
54180,Mexico,0,14.25,1,minimalist,40.44,492.25,-0.88,0,2,level 2
55166,Mexico,0,13.67,1,minimalist,40.44,475.09,-0.36,0,1,level 1
57413,Mexico,0,14.25,1,minimalist,56.63,514.07,-0.85,0,2,level 2
55596,Mexico,0,15.5,1,minimalist,60.47,425.08,-0.97,0,1,level 1
54299,Mexico,0,14.17,1,minimalist,59.24,349.64,-1.35,0,0,level 0
56307,Mexico,0,14.42,1,minimalist,56.63,412.69,-0.6,0,1,level 1
58878,Mexico,1,13.33,1,minimalist,64.05,353.22,-1.24,0,0,level 0
57240,Mexico,1,13.75,1,minimalist,44.48,567.27,2.04,1,3,level 3
54433,Mexico,0,13.75,3,limited,47.94,501.28,-0.03,0,2,level 2
56705,Mexico,0,15.75,3,limited,57.94,507.62,-0.24,0,2,level 2
57296,Mexico,1,13.42,3,limited,55.3,436.11,-0.39,0,1,level 1
57921,Mexico,0,13.5,3,limited,68.06,360.98,0.74,0,0,level 0
58153,Mexico,1,13.5,2,complex,27.06,550.01,2.29,1,2,level 2
57362,Mexico,0,14.17,3,limited,47.94,377.98,-0.75,0,0,level 0
54930,Mexico,1,14.42,3,limited,52.52,363.19,-0.73,0,0,level 0
57944,Mexico,1,14.25,1,minimalist,17.67,519.41,0.64,0,2,level 2
58755,Mexico,1,13.33,3,limited,51.06,481.56,-1.5,0,2,level 2
56087,Mexico,0,13.42,1,minimalist,61.87,563.68,1.02,0,3,level 3
57873,Mexico,0,13.33,1,minimalist,56.63,475.4,-0.57,0,1,level 1
58451,Mexico,1,13.42,1,minimalist,40.44,468.64,-0.18,0,1,level 1
57851,Mexico,1,13.67,2,complex,27.06,524.39,-0.2,0,2,level 2
56643,Mexico,0,13.5,1,minimalist,38.07,559.8,0.85,1,2,level 2
53861,Mexico,1,14.08,1,minimalist,40.44,468.65,-0.11,0,1,level 1
53898,Mexico,1,13.67,1,minimalist,42.55,486.76,-1,0,2,level 2
57541,Mexico,1,13.42,1,minimalist,42.55,527.6,-0.8,0,2,level 2
56972,Mexico,1,14.42,1,minimalist,42.55,452.12,0.77,0,1,level 1
54195,Mexico,1,14.33,1,minimalist,17.67,600.24,-1.38,0,3,level 3
56608,Mexico,1,13.92,1,minimalist,57.94,523.94,0.74,1,2,level 2
55256,Mexico,1,14.17,2,complex,44.48,574.63,-0.8,0,3,level 3
54614,Mexico,0,14.17,1,minimalist,31.87,436.3,0.54,0,1,level 1
57010,Mexico,0,13.67,3,limited,56.63,343.46,-0.63,0,0,level 0
55531,Mexico,1,14.25,1,minimalist,51.06,556.27,0.06,0,2,level 2
57519,Mexico,1,13.33,1,minimalist,56.63,400.66,-1.23,0,1,level 1
55318,Mexico,1,13.58,3,limited,44.48,526.47,1.24,0,2,level 2
55164,Mexico,0,13.67,1,minimalist,59.24,467.74,-0.72,0,1,level 1
56732,Mexico,0,14.08,1,minimalist,42.55,645.01,1.02,1,3,level 3
54451,Mexico,1,13.67,2,complex,44.48,360.83,0.35,0,0,level 0
54612,Mexico,1,13.75,2,complex,27.06,586.68,0.47,0,3,level 3
55885,Mexico,1,14.17,3,limited,60.54,399.89,-1.3,0,1,level 1
53862,Mexico,0,14.25,1,minimalist,46.26,581.21,0.24,0,3,level 3
58771,Mexico,1,14,2,complex,52.52,578.7,-0.75,0,3,level 3
57745,Mexico,1,13.58,1,minimalist,31.87,590.24,0.87,0,3,level 3
58765,Mexico,0,13.33,3,limited,61.87,296.56,-0.77,0,0,level 0
55412,Mexico,0,13.5,1,minimalist,56.63,480.75,0.36,0,2,level 2
59219,Mexico,1,13.58,1,minimalist,64.69,366.29,-0.59,0,0,level 0
59143,Mexico,0,13.58,1,minimalist,38.07,457.28,-0.43,1,1,level 1
59035,Mexico,0,13.92,2,complex,46.26,551.76,-0.6,0,2,level 2
58114,Mexico,0,13.92,1,minimalist,57.94,441.32,-0.31,0,1,level 1
54677,Mexico,0,14.17,1,minimalist,42.55,481.06,-0.03,0,2,level 2
54824,Mexico,1,13.83,1,minimalist,47.94,447.34,1.42,1,1,level 1
56255,Mexico,0,14.5,3,limited,49.54,497.46,-0.01,0,2,level 2
58194,Mexico,1,13.83,1,minimalist,44.48,566.01,-0.13,0,3,level 3
55384,Mexico,1,13.33,1,minimalist,63.24,511.85,0.4,0,2,level 2
57783,Mexico,1,13.58,1,minimalist,38.07,512.01,-0.28,0,2,level 2
54074,Mexico,1,14.58,1,minimalist,66.28,453.9,-0.63,0,1,level 1
55154,Mexico,0,13.92,1,minimalist,57.94,461.6,0.81,0,1,level 1
56262,Mexico,0,13.5,1,minimalist,42.55,594.12,-0.24,0,3,level 3
55269,Mexico,1,13.5,1,minimalist,52.52,452.57,0.37,0,1,level 1
55065,Mexico,0,14.58,1,minimalist,70.18,426.95,0.66,0,1,level 1
57967,Mexico,1,13.42,1,minimalist,46.26,539.25,-0.43,0,2,level 2
58509,Mexico,0,14.17,1,minimalist,85.37,426.83,-0.6,0,1,level 1
55313,Mexico,1,13.67,1,minimalist,17.67,530.17,-0.48,0,2,level 2
55216,Mexico,1,14.58,1,minimalist,31.87,566.39,0.14,0,3,level 3
54263,Mexico,1,15.08,1,minimalist,55.3,491.24,-1.35,0,2,level 2
59150,Mexico,0,13.83,1,minimalist,49.54,445.16,0.17,0,1,level 1
56474,Mexico,0,13.58,1,minimalist,NA,575.39,-0.56,0,3,level 3
55174,Mexico,1,14.17,3,limited,40.44,423.5,0.84,1,1,level 1
56707,Mexico,1,13.5,3,limited,49.54,478.02,1.38,1,1,level 1
55938,Mexico,0,14.25,3,limited,44.48,546.11,-0.47,0,2,level 2
54668,Mexico,0,13.42,1,minimalist,49.54,464.16,-0.61,0,1,level 1
56150,Mexico,0,14.5,3,limited,17.67,470.16,0.77,0,1,level 1
55709,Mexico,0,13.33,1,minimalist,47.94,364.47,-0.14,0,0,level 0
56589,Mexico,1,15,1,minimalist,17.67,582.66,-0.77,0,3,level 3
54520,Mexico,0,14.67,1,minimalist,42.55,572.9,-0.91,0,3,level 3
56627,Mexico,1,14.83,3,limited,52.52,410.22,-0.34,0,1,level 1
58687,Mexico,1,14.17,1,minimalist,51.06,526.27,0.59,0,2,level 2
58130,Mexico,0,14.75,2,complex,38.07,618.32,2.22,1,3,level 3
57589,Mexico,0,14.17,3,limited,47.94,566.62,-0.19,0,3,level 3
55025,Mexico,0,13.33,1,minimalist,53.93,357.96,-0.73,0,0,level 0
54322,Mexico,1,13.92,1,minimalist,47.94,526.71,-0.56,NA,2,level 2
54754,Mexico,1,14.25,1,minimalist,56.63,289.55,0.07,0,0,level 0
56468,Mexico,1,14.42,1,minimalist,44.48,419.52,0.43,0,1,level 1
56979,Mexico,1,14.42,1,minimalist,35.3,563.82,-0.34,0,3,level 3
58689,Mexico,0,14.25,1,minimalist,47.94,522.13,1.52,1,2,level 2
58378,Mexico,0,13.75,1,minimalist,52.52,423.48,0.8,0,1,level 1
56563,Mexico,1,14.17,3,limited,47.94,452.11,0.77,1,1,level 1
57750,Mexico,1,13.83,2,complex,38.07,639.42,0.34,0,3,level 3
55156,Mexico,0,13.58,1,minimalist,60.54,476.51,0.73,0,1,level 1
55221,Mexico,0,13.42,3,limited,64.69,320.73,-1.21,0,0,level 0
56080,Mexico,1,14.5,1,minimalist,35.3,645.94,1.58,1,3,level 3
56269,Mexico,0,14.58,3,limited,59.22,383.36,-0.52,0,0,level 0
55719,Mexico,1,14.25,2,complex,35.3,607.68,0.78,1,3,level 3
58368,Mexico,1,14.33,1,minimalist,17.67,692.15,2.01,NA,3,level 3
57535,Mexico,0,14.92,1,minimalist,61.87,310.22,-1.35,0,0,level 0
58307,Mexico,0,13.92,1,minimalist,44.48,538.42,0.06,0,2,level 2
54917,Mexico,0,13.83,3,limited,60.54,329.51,-0.18,0,0,level 0
54617,Mexico,0,14,2,complex,56.63,472,0.75,1,1,level 1
57878,Mexico,0,14.42,1,minimalist,NA,375.74,-0.66,0,0,level 0
54330,Mexico,1,13.33,1,minimalist,52.52,442.11,-0.61,0,1,level 1
58966,Mexico,0,13.83,3,limited,17.67,383.67,1.91,1,0,level 0
56926,Mexico,1,13.33,1,minimalist,56.63,578.74,-0.23,0,3,level 3
55519,Mexico,1,13.83,2,complex,40.44,546.91,0.36,0,2,level 2
59003,Mexico,1,14.33,2,complex,40.44,480.42,-0.41,0,2,level 2
56882,Mexico,1,13.5,1,minimalist,49.54,543.24,1.1,1,2,level 2
54694,Mexico,1,13.67,1,minimalist,44.48,462.02,0.55,0,1,level 1
57028,Mexico,1,13.33,1,minimalist,61.87,431.04,-0.8,0,1,level 1
57850,Mexico,1,14.42,1,minimalist,27.06,529.53,2.11,1,2,level 2
55139,Mexico,0,13.33,1,minimalist,61.87,505.6,0.15,0,2,level 2
56401,Mexico,1,13.42,1,minimalist,38.07,527.68,0.91,1,2,level 2
56591,Mexico,1,13.83,1,minimalist,46.26,456.14,-1,0,1,level 1
54212,Mexico,0,14.08,2,complex,46.26,549.52,1.97,1,2,level 2
56960,Mexico,0,14.58,3,limited,61.87,462.26,-0.94,0,1,level 1
58776,Mexico,0,13.83,1,minimalist,42.55,485.21,-0.96,0,2,level 2
54372,Mexico,1,14.17,1,minimalist,46.26,512.92,-0.13,0,2,level 2
59213,Mexico,0,13.67,1,minimalist,70.18,326.49,0.96,1,0,level 0
56199,Mexico,1,13.42,1,minimalist,52.52,478.57,0.44,0,1,level 1
59221,Mexico,1,13.42,1,minimalist,52.52,406.47,-0.19,0,1,level 1
57797,Mexico,0,13.58,1,minimalist,31.87,526.02,-0.46,0,2,level 2
54182,Mexico,1,14.08,1,minimalist,40.44,525.2,-1.24,0,2,level 2
55533,Mexico,0,14.25,1,minimalist,35.3,552.73,-0.47,0,2,level 2
54780,Mexico,0,14,1,minimalist,53.93,498.65,0.6,0,2,level 2
55837,Mexico,1,13.83,1,minimalist,52.52,478.49,-1.1,0,1,level 1
54409,Mexico,1,13.33,2,complex,46.26,582.18,0.66,0,3,level 3
54270,Mexico,1,14.92,1,minimalist,49.54,481.53,-0.32,0,2,level 2
58976,Mexico,0,14.5,3,limited,57.94,356.25,-0.83,0,0,level 0
58921,Mexico,0,14.25,3,limited,49.54,415.64,0.78,0,1,level 1
55123,Mexico,0,13.67,1,minimalist,53.93,452.09,-1.21,0,1,level 1
58470,Mexico,0,14.08,3,limited,52.52,443.33,0.06,0,1,level 1
53800,Mexico,1,13.67,1,minimalist,42.55,524.73,-1.24,0,2,level 2
59107,Mexico,0,15.17,2,complex,52.52,544.99,1.53,1,2,level 2
55406,Mexico,1,13.92,1,minimalist,31.87,556.92,-0.97,0,2,level 2
57920,Mexico,1,14.25,1,minimalist,49.54,506.46,0.14,0,2,level 2
57301,Mexico,0,14.17,2,complex,46.26,559.94,0.58,1,2,level 2
58202,Mexico,0,14.92,1,minimalist,44.48,560.43,0.02,0,2,level 2
54786,Mexico,1,13.58,1,minimalist,64.69,413.63,-0.61,0,1,level 1
55641,Mexico,0,14.5,1,minimalist,68.06,401.5,0.93,0,1,level 1
54591,Mexico,1,13.92,1,minimalist,68.06,413.66,-0.83,0,1,level 1
54789,Mexico,1,14.25,1,minimalist,49.54,619.66,-0.59,0,3,level 3
58617,Mexico,0,13.5,3,limited,56.63,333.61,-0.82,0,0,level 0
55183,Mexico,1,14.25,1,minimalist,40.44,425.45,-1.03,0,1,level 1
56951,Mexico,0,13.67,1,minimalist,59.24,374.35,-0.86,0,0,level 0
56439,Mexico,0,14.42,1,minimalist,42.55,580.02,0.87,0,3,level 3
54924,Mexico,1,13.75,1,minimalist,55.3,394.16,-0.88,0,0,level 0
54632,Mexico,0,15.83,1,minimalist,61.87,485.37,-0.37,0,2,level 2
58545,Mexico,0,13.67,1,minimalist,68.06,499,-1.13,0,2,level 2
55397,Mexico,1,13.58,1,minimalist,59.24,381.92,0.36,0,0,level 0
55246,Mexico,0,14.67,1,minimalist,44.48,435.32,-0.03,0,1,level 1
58634,Mexico,1,16.17,3,limited,56.63,381.66,-0.91,0,0,level 0
57042,Mexico,1,13.75,2,complex,17.67,556.95,-0.34,0,2,level 2
58140,Mexico,1,13.75,1,minimalist,35.3,539.07,-0.13,0,2,level 2
58102,Mexico,0,14.17,1,minimalist,50.99,543.97,0.81,1,2,level 2
53721,Mexico,1,14.33,1,minimalist,52.52,436,-0.47,0,1,level 1
57925,Mexico,1,13.83,1,minimalist,42.55,513.4,-0.03,0,2,level 2
57108,Mexico,1,14.25,1,minimalist,47.94,327.49,1.22,1,0,level 0
53989,Mexico,0,13.75,1,minimalist,27.06,535.31,-1.4,0,2,level 2
58818,Mexico,1,14.17,1,minimalist,35.3,565.57,1.53,1,3,level 3
56592,Mexico,0,13.67,1,minimalist,27.06,609.34,-0.08,0,3,level 3
58701,Mexico,0,13.42,2,complex,17.67,453.88,1.24,0,1,level 1
53819,Mexico,0,13.42,1,minimalist,53.93,537.39,-0.44,0,2,level 2
58214,Mexico,0,14.08,1,minimalist,63.24,501.7,-0.88,0,2,level 2
57504,Mexico,1,14.08,1,minimalist,38.07,532.45,0.19,0,2,level 2
54469,Mexico,1,14.42,1,minimalist,57.94,387.78,-0.56,0,0,level 0
54878,Mexico,1,14.17,1,minimalist,53.93,477.9,0.55,0,1,level 1
56138,Mexico,1,13.67,1,minimalist,27.06,397.14,1.55,1,1,level 1
57560,Mexico,1,13.5,2,complex,53.93,529.01,0.91,1,2,level 2
54857,Mexico,0,13.5,3,limited,56.63,287.21,-1.24,0,0,level 0
53814,Mexico,0,13.58,3,limited,38.07,526.77,-1.3,0,2,level 2
57026,Mexico,0,13.42,1,minimalist,44.48,525.14,-0.17,0,2,level 2
59214,Mexico,0,13.33,1,minimalist,49.54,553.19,-0.57,0,2,level 2
58989,Mexico,1,13.67,3,limited,49.54,448.03,-1.57,0,1,level 1
55258,Mexico,1,13.92,1,minimalist,47.94,588.42,-0.81,0,3,level 3
54510,Mexico,1,13.83,1,minimalist,40.44,534.64,1.66,1,2,level 2
56377,Mexico,0,14.75,1,minimalist,27.06,500.62,0.96,1,2,level 2
56200,Mexico,0,13.67,1,minimalist,60.54,418.57,-0.69,0,1,level 1
57859,Mexico,0,13.92,3,limited,56.63,465.09,-1.07,0,1,level 1
56231,Mexico,0,15.17,1,minimalist,61.87,525.03,0.38,0,2,level 2
55019,Mexico,1,14.25,3,limited,57.94,520.44,-0.97,0,2,level 2
58835,Mexico,1,14.25,1,minimalist,46.26,560.44,-0.97,0,2,level 2
54292,Mexico,1,13.42,1,minimalist,51.06,469.06,-1.3,0,1,level 1
58756,Mexico,0,15.25,1,minimalist,56.63,465.94,-1.24,0,1,level 1
56212,Mexico,0,14.83,1,minimalist,44.48,523.3,-0.52,0,2,level 2
56687,Mexico,0,15,2,complex,44.48,601.42,1.4,1,3,level 3
57369,Mexico,1,13.67,1,minimalist,35.3,457.65,-0.59,0,1,level 1
55827,Mexico,0,14.5,1,minimalist,64.69,365.59,-0.71,0,0,level 0
56410,Mexico,1,13.67,1,minimalist,35.3,549.84,1.3,1,2,level 2
55759,Mexico,1,13.67,3,limited,40.44,413.82,-0.02,NA,1,level 1
54810,Mexico,1,14.08,1,minimalist,17.67,514.2,0.21,0,2,level 2
57197,Mexico,0,13.42,1,minimalist,49.54,438.07,0.73,1,1,level 1
58731,Mexico,1,13.67,2,complex,35.3,598.31,2.38,1,3,level 3
57796,Mexico,0,13.33,1,minimalist,56.63,565.81,1.12,1,3,level 3
56213,Mexico,0,14.17,3,limited,46.26,482.72,-1.07,0,2,level 2
55147,Mexico,0,13.33,3,limited,63.25,479.95,-0.88,0,2,level 2
59034,Mexico,1,15,3,limited,59.24,442.07,-0.96,0,1,level 1
57639,Mexico,1,13.42,3,limited,52.52,330.89,-1.24,0,0,level 0
55288,Mexico,1,13.58,3,limited,51.06,489.94,NA,NA,2,level 2
57075,Mexico,1,14.42,1,minimalist,NA,334.37,-1.03,0,0,level 0
57349,Mexico,0,16.33,1,minimalist,55.3,402.77,-0.63,0,1,level 1
57251,Mexico,0,14.25,2,complex,27.06,617.62,1.47,1,3,level 3
54760,Mexico,1,15.08,1,minimalist,57.94,273.88,0.48,0,0,level 0
56508,Mexico,0,13.58,3,limited,47.94,471.58,0.31,1,1,level 1
58587,Mexico,0,13.83,1,minimalist,52.52,616.26,-0.86,0,3,level 3
56384,Mexico,0,13.83,1,minimalist,31.87,580.88,1.5,1,3,level 3
72487,Peru,1,13.33,1,minimalist,52.52,501.76,1.38,1,2,level 2
73866,Peru,0,15.58,1,minimalist,56.63,379.01,-0.42,0,0,level 0
73656,Peru,1,14.58,2,complex,53.93,450.69,0.89,1,1,level 1
72627,Peru,0,13.17,1,minimalist,47.94,579.4,0.23,0,3,level 3
75323,Peru,1,14.75,3,limited,47.94,434.38,0.19,0,1,level 1
73093,Peru,0,13.67,3,limited,55.3,540.29,1.66,1,2,level 2
72951,Peru,1,14.17,1,minimalist,55.3,443.54,-0.79,0,1,level 1
72325,Peru,0,14.67,1,minimalist,68.06,281.83,-0.26,0,0,level 0
73597,Peru,0,15.75,1,minimalist,51.06,315.54,-1.87,0,0,level 0
73457,Peru,1,13.25,1,minimalist,44.48,553.95,1.43,1,2,level 2
77179,Peru,1,14.83,1,minimalist,57.94,385.78,-0.03,0,0,level 0
76051,Peru,0,15.5,1,minimalist,57.94,304.61,-0.44,0,0,level 0
76301,Peru,1,14.75,1,minimalist,53.93,442.61,-1.14,0,1,level 1
75774,Peru,1,14.42,1,minimalist,53.93,429.73,-0.82,0,1,level 1
76649,Peru,1,13.33,1,minimalist,51.06,361.03,0.89,1,0,level 0
72341,Peru,1,13.92,3,limited,56.63,294.34,0.69,1,0,level 0
74194,Peru,1,13.42,1,minimalist,38.07,544.65,1.16,1,2,level 2
74272,Peru,0,13.42,1,minimalist,57.94,449.12,1.27,1,1,level 1
74870,Peru,0,14.75,1,minimalist,66.28,319.54,0.85,1,0,level 0
74923,Peru,0,13.75,1,minimalist,49.54,628.55,0.1,0,3,level 3
75525,Peru,1,15.08,1,minimalist,49.54,434.06,-0.01,0,1,level 1
73295,Peru,1,14.17,1,minimalist,59.24,348.03,-1.11,0,0,level 0
72103,Peru,1,13.5,1,minimalist,57.94,475.77,-0.4,0,1,level 1
74934,Peru,0,13.67,1,minimalist,46.26,512.37,1.63,1,2,level 2
75633,Peru,0,13.25,1,minimalist,51.06,536.56,-0.12,0,2,level 2
74435,Peru,0,13.92,1,minimalist,53.93,472.3,-0.31,0,1,level 1
74817,Peru,1,13.5,1,minimalist,27.06,556.98,-0.11,1,2,level 2
73750,Peru,0,13.08,3,limited,57.94,485.11,-0.04,0,2,level 2
73166,Peru,1,13.5,1,minimalist,42.55,537.21,0,0,2,level 2
76591,Peru,0,15.33,1,minimalist,53.93,358.14,-0.94,0,0,level 0
74238,Peru,0,14.08,1,minimalist,42.55,527.21,1.76,1,2,level 2
72387,Peru,0,13.58,1,minimalist,40.44,490.45,-0.37,0,2,level 2
75682,Peru,1,13.25,3,limited,68.06,327.77,-0.5,0,0,level 0
75940,Peru,0,13,1,minimalist,59.24,319.3,-1.87,0,0,level 0
74854,Peru,1,13.83,2,complex,47.94,573.95,-0.15,0,3,level 3
73946,Peru,0,16.58,1,minimalist,46.26,314.22,0.78,0,0,level 0
74055,Peru,1,13.58,1,minimalist,49.54,454.52,-0.14,0,1,level 1
74652,Peru,0,12.83,1,minimalist,49.54,492.36,-1.5,0,2,level 2
72508,Peru,0,12.75,1,minimalist,61.87,408.38,-0.47,0,1,level 1
74998,Peru,1,14.75,1,minimalist,44.48,457.46,-0.9,0,1,level 1
76497,Peru,0,13.67,1,minimalist,57.94,391.49,-1.87,0,0,level 0
73396,Peru,0,14.17,1,minimalist,47.94,404.8,-0.19,0,1,level 1
75933,Peru,0,14.83,1,minimalist,56.63,418.82,-1.29,0,1,level 1
75706,Peru,1,15.42,1,minimalist,56.63,244.65,0.44,0,0,level 0
75779,Peru,0,13.33,1,minimalist,61.87,456.87,-0.53,0,1,level 1
76641,Peru,0,14.92,1,minimalist,70.37,346.49,-0.08,0,0,level 0
77201,Peru,0,14,3,limited,55.3,330,-1.34,0,0,level 0
75155,Peru,1,13.5,1,minimalist,51.06,561.16,0.19,0,2,level 2
75085,Peru,1,13.5,1,minimalist,51.06,554.66,0.43,0,2,level 2
75648,Peru,0,13.75,1,minimalist,63.24,358.86,0.95,1,0,level 0
72441,Peru,0,15.25,1,minimalist,61.87,277.24,0.89,1,0,level 0
74827,Peru,1,14.17,1,minimalist,46.26,593.28,1.27,0,3,level 3
75298,Peru,0,12.92,1,minimalist,66.28,358.3,-0.42,0,0,level 0
75266,Peru,0,13.5,1,minimalist,55.3,538.2,-0.56,0,2,level 2
74547,Peru,0,13.08,1,minimalist,38.07,503.75,0.34,0,2,level 2
76839,Peru,0,13.83,1,minimalist,51.06,484.43,-0.74,0,2,level 2
72221,Peru,1,14,2,complex,31.87,514.75,0.74,1,2,level 2
77057,Peru,0,15.42,2,complex,35.3,454.07,-0.83,0,1,level 1
75938,Peru,0,13.33,1,minimalist,59.24,442.09,-1.3,0,1,level 1
76978,Peru,1,13.58,1,minimalist,47.94,312.4,-0.79,0,0,level 0
72461,Peru,0,13.83,2,complex,40.44,649.67,2.05,1,3,level 3
74730,Peru,0,13.92,3,limited,46.26,455.44,0.48,0,1,level 1
72101,Peru,0,13.75,3,limited,56.63,331.49,1.31,1,0,level 0
75655,Peru,0,13.42,1,minimalist,38.07,484.45,0.06,0,2,level 2
72155,Peru,1,14.42,3,limited,52.52,436.65,-1.11,0,1,level 1
72310,Peru,0,13.67,2,complex,49.54,557.02,0.01,0,2,level 2
75556,Peru,1,13.92,1,minimalist,35.3,301.67,-0.17,0,0,level 0
75726,Peru,0,13.67,1,minimalist,17.67,572.41,0.84,1,3,level 3
75387,Peru,0,13.67,1,minimalist,56.63,567.57,1.25,1,3,level 3
75567,Peru,0,16.17,1,minimalist,53.93,293.8,-1.85,0,0,level 0
72803,Peru,1,13.25,1,minimalist,52.52,497.19,2.06,1,2,level 2
75537,Peru,0,14,1,minimalist,47.94,547.34,1.18,1,2,level 2
76868,Peru,0,13.92,1,minimalist,61.87,364.52,1.43,1,0,level 0
72121,Peru,1,13.42,1,minimalist,55.3,415.66,0.42,1,1,level 1
72876,Peru,0,15.33,3,limited,56.63,225.13,-0.6,0,0,level 0
75487,Peru,0,11.92,1,minimalist,53.93,379.33,-0.69,0,0,level 0
73390,Peru,0,15.5,1,minimalist,57.94,480.53,-0.96,0,2,level 2
74445,Peru,1,15.33,2,complex,52.52,461.55,0.8,0,1,level 1
72950,Peru,1,13.75,2,complex,42.55,384.78,0.24,0,0,level 0
73795,Peru,1,13.83,2,complex,31.87,568.56,-1.13,0,3,level 3
72556,Peru,0,14.75,1,minimalist,56.63,373.15,0.52,0,0,level 0
76130,Peru,0,13.58,3,limited,52.52,452.71,-0.37,0,1,level 1
72280,Peru,1,13.67,1,minimalist,46.26,441.11,-0.27,0,1,level 1
76810,Peru,0,13.42,1,minimalist,63.24,458.25,0.17,0,1,level 1
75301,Peru,0,13.75,1,minimalist,51.06,473.04,1.43,1,1,level 1
74813,Peru,0,14.83,1,minimalist,40.44,504.54,0.86,0,2,level 2
72758,Peru,0,14.75,3,limited,56.63,365.5,-0.4,1,0,level 0
75326,Peru,0,13.92,1,minimalist,40.44,544.03,-0.68,0,2,level 2
76304,Peru,1,13.67,1,minimalist,35.3,591.96,-0.05,0,3,level 3
73302,Peru,0,12.92,3,limited,35.3,507.19,0.34,0,2,level 2
74810,Peru,1,13.25,1,minimalist,57.94,445.12,-0.51,0,1,level 1
76815,Peru,1,13.67,1,minimalist,46.26,501.26,2.05,1,2,level 2
73378,Peru,0,14.92,1,minimalist,59.24,435.11,-0.31,0,1,level 1
74257,Peru,0,12.42,1,minimalist,47.94,257.57,-0.93,0,0,level 0
75102,Peru,1,13.83,3,limited,49.54,400.76,0.65,1,1,level 1
74954,Peru,0,14.17,1,minimalist,52.52,348.89,-1.29,0,0,level 0
72898,Peru,0,13.83,1,minimalist,53.93,478.36,0.68,1,1,level 1
76612,Peru,1,16,1,minimalist,51.85,315.47,-0.88,0,0,level 0
77155,Peru,1,13.58,1,minimalist,55.64,344.5,0.19,1,0,level 0
74955,Peru,0,13.5,3,limited,52.52,433.3,-1.17,0,1,level 1
74840,Peru,1,13.5,3,limited,51.06,324.07,0.06,0,0,level 0
72914,Peru,1,13.5,2,complex,47.94,532.14,0.79,0,2,level 2
73054,Peru,1,14.92,3,limited,53.93,384.8,1.04,1,0,level 0
77210,Peru,0,12.5,1,minimalist,55.3,410.16,0.06,1,1,level 1
75909,Peru,0,13.75,3,limited,51.06,433.95,1.07,1,1,level 1
77093,Peru,0,15.67,1,minimalist,47.94,475.28,-1.34,0,1,level 1
74727,Peru,0,13.75,1,minimalist,51.06,416.73,-0.47,0,1,level 1
73403,Peru,1,13.58,3,limited,66.28,411.41,0.48,0,1,level 1
76731,Peru,0,14.42,1,minimalist,49.54,502.74,0.8,1,2,level 2
72456,Peru,0,13.5,1,minimalist,52.52,465.18,-0.76,0,1,level 1
73272,Peru,0,14.92,3,limited,55.3,337.97,-0.6,0,0,level 0
74719,Peru,0,13.83,1,minimalist,46.26,502.91,-0.18,0,2,level 2
75866,Peru,1,15.67,1,minimalist,42.55,475.97,-0.19,0,1,level 1
73180,Peru,0,13.33,1,minimalist,56.63,448.79,-0.56,0,1,level 1
74706,Peru,1,13.58,1,minimalist,44.36,540.82,1.2,0,2,level 2
75449,Peru,1,12.33,1,minimalist,44.48,529.03,0.03,0,2,level 2
72937,Peru,0,15.58,1,minimalist,53.93,399.86,1.89,1,1,level 1
