ID;Ex01;Am01;Re01;Ne01;Ap01;Ex02;Am02;Re02;Ne02;Ap02;Ex03;Am03;Re03;Ne03;Ap03;Ex04;Am04;Re04;Ne04;Ap04;Ex05;Am05;Re05;Ne05;Ap05;Ex06;Am06;Re06;Ne06;Ap06;Ex07;Am07;Re07;Ne07;Ap07;Ex08;Am08;Re08;Ne08;Ap08;Ex09;Am09;Re09;Ne09;Ap09;Ex10;Am10;Re10;Ne10;Ap10;RSES01;RSES02;RSES03;RSES04;RSES05;RSES06;RSES07;RSES08;RSES09;RSES10
1;2;3;2;2;3;2;4;2;2;4;3;2;4;3;4;2;3;4;3;3;2;2;2;2;4;3;2;3;3;4;2;3;1;4;3;3;3;2;3;3;2;3;1;2;2;3;3;2;3;4;6;6;3;6;6;4;5;4;5;6
2;3;4;4;3;4;3;4;3;3;3;4;4;4;4;3;2;4;4;3;4;3;4;4;3;3;3;3;4;3;4;3;4;5;3;4;2;3;4;2;3;3;4;4;3;4;2;3;3;2;3;6;5;6;5;6;5;5;6;7;7
3;4;4;3;1;5;5;4;2;2;5;5;3;2;2;5;4;3;3;1;5;4;4;3;1;4;5;2;3;1;5;4;4;2;1;5;4;3;4;1;5;4;2;2;2;3;5;3;4;1;5;7;7;7;7;7;7;6;7;7;7
4;4;4;3;2;3;3;3;5;3;4;4;4;3;2;3;2;4;4;3;3;3;4;4;2;3;3;3;4;3;3;2;3;4;3;4;2;3;4;2;2;2;3;3;2;4;3;3;4;3;3;5;5;3;5;6;4;6;3;3;3
5;3;3;3;4;4;3;3;4;2;4;4;4;3;2;2;4;3;4;4;4;3;4;3;3;3;5;2;3;4;4;3;3;4;3;4;3;3;4;2;3;4;3;3;4;3;4;3;4;2;3;7;6;7;5;7;5;5;6;6;7
6;3;2;4;3;5;2;4;5;3;5;3;5;5;5;5;1;5;4;5;5;1;4;3;2;3;2;3;5;3;5;4;4;4;2;5;1;4;4;2;3;1;4;4;3;4;1;4;4;3;5;4;5;5;4;6;6;6;5;4;1
7;4;5;3;1;4;4;5;3;2;2;5;5;3;3;2;5;5;5;2;2;5;5;3;2;3;5;3;2;2;4;5;4;3;1;4;3;5;5;2;3;5;5;2;1;5;5;5;2;1;3;6;6;6;5;7;6;5;6;7;7
8;2;3;4;2;1;1;4;2;2;3;3;5;4;4;4;2;4;4;2;3;3;4;4;3;4;3;3;2;2;4;2;4;4;2;3;2;4;4;2;1;2;3;3;2;4;2;4;3;2;4;5;5;3;6;6;5;6;6;6;6
9;2;4;4;2;4;2;4;5;2;4;3;5;3;2;2;2;4;5;4;3;4;4;4;4;4;3;3;5;1;2;2;4;5;4;5;1;4;5;4;2;1;4;4;4;4;3;4;4;4;2;7;7;7;7;7;6;6;2;7;2
10;3;5;4;3;4;4;4;5;3;4;5;4;4;4;2;5;5;5;3;4;4;5;4;4;3;4;3;5;3;3;5;5;5;2;3;2;5;5;2;3;3;4;3;3;4;4;4;3;2;4;7;6;7;7;7;6;6;6;7;7
11;4;4;2;2;5;4;5;4;1;4;4;4;4;2;4;4;4;5;1;3;4;4;3;2;4;4;2;4;2;4;3;4;2;4;4;2;3;4;2;3;4;4;4;2;3;4;4;4;2;4;6;6;6;6;6;6;6;6;6;6
12;3;5;4;2;2;2;4;5;2;4;4;5;4;4;3;2;4;4;3;4;4;4;4;2;3;4;3;4;2;3;2;4;4;2;4;3;4;4;2;3;3;4;3;2;4;3;4;4;2;3;3;6;4;6;5;4;5;3;5;6
13;5;5;2;2;4;5;5;5;2;5;5;5;2;1;5;4;4;4;2;4;5;3;5;2;4;5;4;4;1;5;5;2;4;2;4;3;5;5;2;2;2;5;2;4;4;4;4;4;1;5;7;7;1;6;7;7;7;3;7;7
14;4;4;3;1;4;3;4;3;2;4;3;5;4;3;3;2;3;4;2;4;3;3;3;2;4;4;3;4;2;4;3;4;4;3;4;3;3;4;2;3;3;4;4;2;4;3;3;4;2;4;6;6;6;6;6;6;5;6;6;6
15;4;5;3;3;3;4;4;4;3;3;4;3;4;4;3;4;4;4;3;4;3;4;4;3;4;4;3;4;2;3;4;4;4;3;3;3;4;4;3;2;3;4;3;2;4;4;3;4;3;4;6;6;6;6;6;6;5;3;6;6
16;4;2;5;2;5;4;4;5;1;2;4;1;4;4;4;4;2;4;2;2;4;2;5;2;5;4;3;5;2;4;2;2;5;2;5;5;3;4;1;3;1;4;5;5;4;3;2;5;2;5;7;7;7;7;7;7;7;7;7;7
17;3;2;4;2;5;4;4;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;3;3;2;4;2;4;4;4;4;3;4;4;4;5;3;4;2;4;4;3;5;4;4;4;3;3;6;6;6;6;6;5;6;3;4;3
18;3;4;4;2;4;3;4;4;2;4;4;5;4;4;4;3;4;4;2;4;2;4;4;2;4;4;2;4;2;4;2;4;4;2;4;2;4;4;2;3;2;4;4;2;4;2;4;4;2;4;6;6;6;6;6;6;6;5;6;6
19;3;3;4;2;4;2;4;4;2;4;4;3;4;3;4;2;4;2;2;2;3;2;2;2;4;3;3;3;3;4;4;4;2;3;4;2;4;3;3;4;2;4;3;2;4;2;3;3;2;3;4;4;4;4;4;4;4;4;4;4
20;3;4;3;3;4;3;4;4;3;3;4;5;2;3;3;2;4;4;2;3;4;4;3;2;3;3;2;5;3;3;4;4;3;4;5;2;5;5;4;3;1;4;3;2;4;3;3;3;2;3;5;5;7;4;7;6;6;6;6;7
21;3;5;2;1;5;3;5;2;5;5;4;5;4;4;4;3;4;5;4;5;4;5;3;3;2;4;3;5;1;2;4;5;4;2;4;1;5;4;1;4;4;4;3;2;4;4;4;3;1;4;6;6;2;6;7;6;6;7;7;2
22;4;4;4;2;3;5;4;4;2;2;5;5;4;3;3;5;4;5;1;2;4;4;4;2;3;5;4;3;2;3;4;5;4;1;3;5;4;5;1;3;5;4;3;1;3;5;4;4;1;3;6;7;7;6;7;6;6;7;7;7
23;3;4;4;3;3;3;4;4;3;4;3;5;3;2;3;3;4;4;2;3;4;4;3;2;3;4;3;4;2;3;3;4;4;2;4;1;4;4;2;3;2;4;3;2;3;4;4;3;2;3;7;6;5;4;4;6;5;6;6;6
24;3;3;3;2;3;3;3;3;2;3;3;4;3;3;2;3;3;4;2;3;3;2;3;3;4;3;2;3;2;3;3;3;3;2;3;3;3;4;2;3;3;3;4;3;3;3;3;4;3;3;6;6;6;6;6;6;6;5;5;5
25;3;5;3;4;3;4;5;4;4;4;4;5;5;4;4;3;5;3;4;3;3;4;3;4;3;3;3;5;4;4;3;5;5;3;3;2;4;3;4;2;2;5;4;4;4;3;4;4;4;4;2;4;3;4;3;3;2;1;2;2
26;3;4;4;2;5;4;4;3;2;4;4;5;4;5;5;3;4;4;3;4;3;4;2;3;4;4;3;5;1;1;3;4;5;2;4;2;3;5;2;3;3;4;4;4;4;3;3;3;2;4;7;6;6;7;6;6;6;5;6;6
27;2;4;4;5;3;3;2;5;3;3;5;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;6;6;7;6;2;6;4;7;4;6
28;3;4;4;4;5;3;5;5;4;3;4;4;3;4;5;2;3;4;3;3;4;3;3;3;4;4;3;4;3;5;4;3;4;3;4;2;4;4;3;3;3;4;4;3;4;3;4;3;2;4;7;7;7;7;7;7;7;7;7;7
29;3;4;3;2;4;3;3;4;3;2;4;5;3;4;3;3;4;4;2;1;4;3;3;3;4;4;5;3;1;4;4;4;3;3;3;2;4;5;1;1;3;4;1;2;4;3;4;3;1;3;7;6;7;6;7;4;4;7;6;7
30;3;4;2;3;4;2;5;2;3;4;3;5;4;4;3;3;4;3;4;5;3;4;3;2;3;4;2;2;3;5;3;4;4;3;4;2;4;3;3;4;3;4;4;3;4;3;4;3;3;3;6;6;5;4;3;6;5;4;6;6
31;3;5;4;3;4;3;5;2;2;4;4;5;5;4;1;3;4;4;4;4;2;1;2;3;3;4;2;4;2;3;4;5;4;3;4;2;4;4;3;2;3;5;4;2;5;3;4;5;2;2;6;7;7;6;7;6;6;7;7;7
32;2;5;2;2;4;2;4;2;2;3;3;5;2;3;3;2;3;4;2;3;2;4;2;2;3;2;4;3;2;3;2;4;2;2;4;2;4;3;2;3;3;4;2;2;2;2;3;2;2;2;5;6;6;6;6;5;5;6;6;6
33;3;4;2;2;4;4;4;2;1;2;4;2;2;4;5;3;4;3;2;3;3;4;2;1;4;2;1;2;2;2;2;4;3;2;2;3;2;4;2;2;2;4;3;4;3;2;4;2;2;3;4;6;6;5;6;6;6;6;3;6
34;4;4;3;3;4;5;4;4;2;4;4;4;4;3;4;4;4;4;2;4;4;4;3;2;4;4;3;3;2;4;4;4;3;2;4;4;4;4;2;3;4;4;4;2;4;4;4;3;2;3;6;6;6;6;6;6;6;6;6;6
35;1;5;4;1;3;1;5;5;5;5;5;5;3;3;1;5;3;5;5;1;4;5;1;1;4;5;1;5;1;5;5;5;5;1;5;1;5;1;1;1;5;5;5;1;5;5;5;1;1;5;7;7;7;7;7;7;7;7;7;7
36;4;4;3;3;4;3;4;3;2;4;4;5;4;4;3;4;4;4;3;3;4;4;4;2;4;4;3;4;2;4;4;4;4;3;4;2;4;4;3;4;3;4;4;2;4;4;4;4;2;4;6;6;7;6;6;6;6;5;6;7
37;4;3;3;4;3;4;3;4;3;2;4;4;3;4;4;3;3;4;2;1;4;3;4;3;4;4;2;4;2;4;4;3;4;4;4;4;3;3;4;2;4;3;5;4;3;4;4;4;3;4;5;6;7;6;6;5;6;6;7;7
38;4;5;3;3;4;5;4;4;2;4;4;5;3;3;3;4;4;4;2;3;4;2;4;3;3;5;1;3;3;3;4;5;4;1;3;3;4;2;2;2;2;4;3;2;3;3;4;3;1;2;6;6;5;4;5;5;6;5;6;6
39;5;5;4;2;4;3;4;4;4;5;3;5;5;4;4;3;4;5;3;5;5;5;4;3;5;5;2;4;2;4;2;5;5;2;5;2;3;5;2;4;3;4;4;3;4;2;3;5;2;5;7;7;2;6;7;5;4;2;6;6
40;4;4;1;2;3;4;5;2;2;4;5;4;5;4;5;4;4;4;2;4;4;5;3;1;3;4;4;5;2;5;4;4;3;2;3;4;4;5;2;3;2;3;2;2;2;4;4;4;2;4;5;6;6;4;7;7;6;6;7;7
41;3;4;3;2;4;3;4;3;2;4;4;4;4;3;4;3;4;4;2;3;3;4;4;2;4;3;3;4;2;4;3;4;4;3;4;3;4;4;3;3;4;4;4;3;4;2;4;4;3;4;6;6;6;6;6;6;6;6;6;6
42;2;5;4;3;4;2;3;5;2;2;4;5;4;3;3;2;5;5;3;3;2;4;4;2;4;4;4;4;4;4;2;4;5;3;3;2;3;5;2;3;3;4;3;4;4;3;3;4;2;4;6;6;6;7;6;4;5;2;6;3
43;5;5;4;2;5;5;5;5;2;4;4;4;5;3;5;4;5;4;1;3;4;5;3;2;4;5;4;5;3;5;5;5;4;3;5;3;4;5;2;3;4;5;3;3;3;4;5;5;1;4;7;7;7;7;7;6;7;6;7;7
44;4;4;2;1;4;3;5;4;1;3;4;5;4;3;3;3;4;4;1;2;3;4;4;1;3;3;3;2;1;3;3;4;4;1;4;3;2;4;1;3;4;4;3;2;4;3;4;4;1;3;6;6;6;5;6;6;6;6;6;6
45;5;4;4;2;4;4;5;2;2;3;4;5;4;3;5;3;4;4;2;4;4;3;4;2;4;4;4;3;2;2;5;4;3;2;4;3;4;5;2;1;3;4;3;3;4;3;4;4;1;5;6;6;7;6;6;6;6;5;6;6
46;3;4;3;3;4;2;4;2;2;4;3;5;5;4;4;2;4;4;3;3;3;4;3;3;4;4;4;3;3;4;4;4;3;4;4;3;4;4;3;4;2;4;3;3;4;2;4;4;3;4;6;6;6;5;5;5;5;6;6;7
47;4;5;4;4;5;5;5;5;3;4;4;5;5;4;5;2;5;5;4;4;4;5;5;4;4;4;5;5;3;4;4;5;5;3;5;2;5;4;3;4;2;4;4;4;4;4;4;5;2;4;6;6;7;6;7;6;6;7;7;7
48;3;4;3;2;4;3;4;5;2;2;4;5;2;2;2;3;4;5;1;4;3;4;3;2;3;3;2;4;2;2;4;4;4;2;4;3;4;4;1;3;3;3;3;2;4;3;3;4;1;2;5;5;6;5;6;5;6;6;6;6
49;3;4;4;1;4;3;4;5;1;5;4;5;5;5;3;3;3;5;1;5;3;4;5;1;4;5;1;5;1;5;5;5;5;1;4;3;4;5;1;2;3;4;5;1;3;3;4;5;1;5;7;7;7;6;7;7;7;7;7;7
50;3;5;4;1;5;3;4;5;2;4;3;5;5;4;2;3;4;5;1;3;3;5;4;3;3;4;3;5;1;4;3;4;4;1;5;3;5;5;1;3;3;4;4;1;4;3;3;4;1;3;7;7;7;7;7;6;7;7;7;7
51;5;5;3;2;5;5;5;2;2;4;5;5;4;4;5;1;5;5;4;2;5;5;2;4;5;5;3;4;2;5;5;5;5;1;5;5;5;5;1;1;1;5;1;3;4;1;5;3;2;5;3;7;7;7;7;5;6;7;2;7
52;3;4;4;3;2;3;2;3;3;3;2;3;3;4;3;4;2;3;4;3;2;3;2;3;2;2;3;4;3;3;4;3;3;2;2;4;3;2;2;3;3;4;4;3;2;5;2;3;2;2;3;4;4;3;3;4;3;6;4;3
53;4;5;3;2;4;5;5;5;2;5;4;5;5;2;4;4;5;5;1;3;3;5;3;1;4;5;4;5;1;5;4;5;5;1;5;3;5;5;1;1;3;5;4;1;3;4;4;4;1;4;7;7;7;7;7;7;7;7;7;7
54;4;5;4;2;4;4;4;3;2;4;4;4;4;2;4;3;4;4;2;3;4;3;3;2;4;4;2;4;2;4;4;4;4;2;4;2;4;4;2;2;3;4;4;2;4;3;4;4;2;4;7;7;6;7;7;6;7;4;7;7
55;2;4;4;4;5;3;3;3;3;5;3;4;2;4;2;2;3;4;2;2;4;4;3;4;4;4;3;2;4;2;4;2;4;4;5;2;3;5;3;5;2;3;3;4;4;3;3;5;3;3;6;7;5;7;6;5;6;5;5;5
56;4;4;3;2;3;4;4;4;3;4;4;5;4;5;3;4;4;4;2;3;4;3;2;4;3;4;4;3;3;4;4;4;5;3;4;2;4;4;3;1;3;4;5;3;3;4;4;3;2;3;6;6;6;5;3;5;6;4;6;7
57;1;3;4;4;3;3;3;3;4;3;3;4;3;4;3;2;4;5;2;3;3;4;4;4;3;2;3;2;4;2;3;2;4;4;3;3;3;3;4;3;3;4;4;4;3;3;3;2;3;3;5;4;4;5;4;3;6;3;4;4
58;4;5;3;2;5;5;5;2;2;4;5;5;3;3;3;4;4;4;1;2;4;5;3;3;3;4;3;2;2;3;4;5;3;1;5;3;4;4;1;4;4;4;4;2;4;5;4;3;1;4;6;6;7;6;7;7;7;7;7;7
59;4;4;3;1;5;3;4;4;2;5;4;4;4;4;3;3;4;4;1;2;3;4;3;1;4;4;4;4;2;4;2;3;4;2;4;3;3;4;1;3;2;3;3;2;3;2;3;4;2;3;4;5;5;5;5;4;4;3;4;4
60;4;4;2;2;4;4;4;2;2;3;4;5;3;3;2;3;4;3;2;3;4;4;2;2;3;4;3;3;2;4;4;4;3;2;4;2;4;4;2;3;3;3;4;2;4;4;4;3;2;3;4;5;3;5;6;5;4;4;6;5
61;4;4;4;3;3;2;4;4;3;3;4;5;4;4;4;3;4;4;4;4;4;4;3;4;4;4;5;4;4;4;4;4;4;4;4;2;4;4;4;4;2;4;4;3;4;4;4;4;4;4;6;6;6;6;6;6;5;3;6;6
62;4;5;3;3;5;3;5;3;2;5;5;5;5;4;4;3;4;5;4;5;4;5;3;3;4;4;3;4;2;5;5;5;3;3;4;3;4;4;3;3;3;4;4;3;4;4;3;4;2;4;7;7;7;7;1;7;6;4;7;7
63;4;4;3;2;4;4;4;4;2;2;4;4;4;4;4;4;4;4;2;2;4;4;3;2;3;4;4;4;2;4;4;4;4;4;4;4;4;4;2;3;4;4;4;3;4;4;4;3;2;3;4;5;5;4;5;4;5;6;6;6
64;5;4;4;2;4;5;4;4;2;4;5;5;4;4;4;4;4;5;1;4;5;5;3;2;3;5;2;3;2;2;5;5;4;2;4;2;4;4;1;4;4;4;4;3;4;5;4;4;2;4;7;6;7;6;7;7;7;6;7;7
65;3;3;3;5;3;1;5;4;2;5;3;3;4;3;2;2;3;4;1;5;3;3;3;2;3;4;3;5;1;3;3;4;5;1;5;1;3;5;1;3;3;3;5;3;3;3;3;5;1;3;7;7;7;5;7;7;7;7;7;7
66;3;4;3;1;3;3;4;4;2;3;4;4;4;2;3;3;4;2;4;3;4;4;3;2;4;4;2;2;2;4;3;4;2;2;4;3;4;4;2;3;2;4;4;2;4;4;4;3;2;3;4;5;6;6;6;6;6;6;6;6
67;4;3;3;2;4;5;3;4;2;4;4;4;4;3;4;4;3;4;3;3;4;3;3;2;4;4;2;3;2;4;4;3;4;3;4;2;4;4;2;4;4;2;4;2;4;4;4;4;2;4;7;6;7;7;6;6;6;4;6;6
68;5;5;4;2;5;5;5;5;2;5;5;3;5;4;5;5;5;5;2;5;5;5;3;2;5;5;5;5;1;5;5;5;5;1;5;5;5;5;1;3;5;5;5;2;1;5;5;5;1;3;7;6;7;6;7;7;6;7;7;7
69;3;2;4;2;4;3;4;5;2;5;4;5;4;3;3;3;4;5;2;5;4;5;4;3;4;4;3;5;2;5;4;5;4;1;4;3;4;5;1;3;3;4;4;1;4;3;4;4;1;4;6;6;7;6;7;6;6;7;7;7
70;3;4;4;2;5;5;1;4;2;5;3;5;4;3;4;3;4;5;3;4;4;4;3;3;4;4;3;4;2;4;3;4;4;2;4;3;4;4;1;4;3;3;5;2;4;2;4;4;1;4;6;6;6;5;6;5;5;7;7;7
71;3;4;3;2;2;2;3;5;3;3;3;5;4;3;2;2;4;4;3;3;2;4;1;1;3;3;3;5;3;2;3;4;1;3;3;1;4;4;3;1;5;2;1;2;4;2;3;4;1;1;6;5;7;5;3;5;5;3;4;2
72;4;4;4;1;4;5;4;4;2;5;4;4;5;3;4;5;5;4;1;5;5;4;3;2;5;5;3;4;1;4;4;4;3;2;5;4;4;4;1;3;4;4;2;4;4;5;4;5;1;5;5;6;6;7;7;7;6;7;6;6
73;3;5;3;2;5;5;5;3;2;4;5;5;5;3;4;3;5;4;1;4;4;5;3;3;4;5;2;3;3;5;5;5;3;1;4;3;5;5;1;3;3;5;3;1;2;3;5;4;1;4;7;7;7;5;7;7;7;5;7;7
74;4;4;3;2;4;4;4;4;2;2;4;5;4;2;5;3;4;5;2;2;4;4;5;4;3;4;4;4;4;4;4;2;5;3;3;2;4;4;1;2;3;4;3;3;4;4;4;3;1;3;6;6;7;6;7;6;6;4;7;7
75;3;4;3;1;4;2;3;5;1;5;3;3;4;4;4;4;3;5;4;4;4;3;3;3;4;5;2;5;1;4;4;3;5;3;4;3;3;5;1;4;4;3;3;4;4;3;3;4;1;4;7;7;7;7;7;7;7;7;7;7
76;4;5;4;3;2;4;4;4;2;3;4;5;4;5;4;2;5;5;3;1;2;5;4;4;3;4;3;3;4;4;2;4;4;2;2;2;4;4;1;1;2;4;4;3;4;2;4;4;2;3;6;6;7;6;7;6;6;2;6;6
77;3;1;3;3;4;3;5;4;1;3;3;5;4;4;3;3;5;5;3;4;3;5;3;3;2;4;3;4;2;3;2;5;4;2;3;2;4;4;2;2;2;3;3;2;4;2;4;2;2;2;6;6;6;5;6;5;6;6;6;6
78;3;4;3;3;4;4;4;3;2;3;4;4;4;4;3;2;4;4;3;3;4;4;3;3;3;4;3;4;3;4;3;4;4;4;3;2;4;4;4;3;2;4;3;2;3;4;4;3;2;2;6;6;7;6;7;6;6;6;6;6
79;3;5;3;3;3;3;5;5;3;4;5;5;5;3;3;3;5;4;3;3;3;5;2;2;3;3;3;4;2;4;3;5;3;3;3;2;4;4;3;2;2;4;3;2;3;3;4;3;1;3;5;5;4;3;4;4;5;3;4;4
80;3;2;3;2;2;4;4;1;2;4;4;5;4;2;4;3;3;1;1;4;3;4;2;2;3;3;3;1;1;2;3;5;5;3;5;3;4;5;2;3;3;4;1;1;4;3;4;4;2;3;4;7;7;7;7;5;5;3;6;6
81;4;3;4;4;5;5;4;1;3;3;5;3;4;4;4;3;3;2;4;2;4;3;2;3;4;4;4;2;4;4;4;3;2;4;4;2;3;3;4;3;3;3;3;4;4;2;4;3;4;4;3;5;3;5;3;5;4;2;3;2
82;3;5;3;3;5;3;5;5;2;3;5;5;4;3;5;2;4;3;2;3;4;5;3;1;3;4;4;3;3;4;4;5;4;2;5;1;5;3;1;3;1;5;3;2;4;3;5;3;1;4;6;6;6;6;6;6;6;6;7;7
83;4;5;5;4;4;5;5;5;4;2;4;5;5;5;2;2;5;5;2;2;5;5;5;4;4;5;2;5;2;4;4;5;5;2;5;2;5;5;2;2;2;5;4;3;4;5;5;5;1;4;6;6;6;6;6;5;5;7;7;7
84;4;5;1;4;3;4;4;2;3;2;3;5;2;5;4;4;4;3;4;1;4;3;2;4;4;4;4;2;4;3;3;4;3;4;5;3;3;4;4;2;4;3;2;2;3;4;3;4;3;3;5;5;6;4;5;4;4;3;2;2
85;4;4;3;1;4;5;4;4;2;4;4;4;4;2;4;4;4;4;2;4;5;4;2;2;4;5;2;4;1;5;5;5;4;2;5;4;4;2;2;3;5;4;4;1;4;4;4;4;1;4;7;7;7;5;7;7;7;7;7;7
86;3;4;2;4;4;4;4;3;3;4;3;5;4;5;3;4;4;3;3;3;3;4;3;4;3;4;4;3;4;3;3;4;4;4;4;2;3;4;2;3;2;4;3;4;3;2;3;2;3;3;6;5;5;5;5;4;5;2;5;4
87;3;4;2;2;4;2;3;4;2;2;4;5;4;4;4;2;3;4;2;2;4;4;1;2;4;3;3;1;2;5;2;4;3;2;4;1;4;4;1;3;2;2;1;2;4;2;3;2;1;4;7;7;7;7;7;6;7;7;3;7
88;3;5;4;4;4;3;4;3;4;3;3;3;4;4;3;2;4;3;4;3;3;3;4;4;4;3;4;5;3;3;3;4;3;3;3;2;4;3;4;3;3;4;4;4;4;3;4;3;4;3;5;5;5;5;6;3;4;4;3;5
89;3;4;4;2;4;4;4;3;2;3;3;5;4;3;3;3;4;4;3;3;3;5;3;3;4;4;3;4;2;4;3;4;4;3;4;2;4;4;2;2;2;3;4;3;3;2;3;3;3;4;5;5;5;5;6;5;6;4;5;4
90;4;4;4;3;3;4;4;2;3;3;3;4;2;3;5;2;4;5;3;4;3;4;2;2;4;4;4;3;2;4;3;4;3;3;4;4;4;4;3;3;4;4;4;4;3;3;5;4;2;5;7;7;3;7;6;6;5;6;6;4
91;3;5;3;2;4;3;4;4;5;3;3;5;2;4;3;3;4;4;2;3;4;4;3;4;3;4;5;3;2;4;4;4;5;3;3;3;4;4;3;2;2;4;3;4;3;3;3;3;2;3;7;6;3;5;1;7;5;3;3;3
92;3;4;4;4;3;3;4;2;3;4;4;3;3;4;3;2;4;3;4;3;3;4;3;3;3;3;3;3;3;4;2;3;3;3;3;2;3;4;3;2;3;3;3;3;3;2;4;4;3;3;4;5;2;6;5;3;4;2;4;2
93;2;3;4;4;4;3;3;4;3;5;3;5;3;3;3;3;3;5;5;5;3;3;2;4;3;3;3;3;1;4;3;4;3;3;3;3;3;3;3;3;2;2;4;3;4;3;3;3;3;3;6;5;3;5;5;4;4;6;6;6
94;2;2;4;2;4;3;4;5;3;4;3;5;4;4;1;2;4;5;2;2;3;5;4;3;3;4;2;4;2;3;2;4;5;1;4;2;4;5;1;3;3;3;4;2;4;2;3;5;1;3;6;6;7;5;7;5;6;5;7;7
95;1;2;2;4;2;2;2;3;4;3;2;3;3;3;4;2;2;3;4;3;4;2;2;3;3;2;3;4;3;3;2;2;3;4;4;1;2;3;4;2;2;4;3;4;4;3;2;3;4;4;5;5;3;5;5;2;3;3;3;3
96;2;3;4;1;4;2;3;4;2;5;3;5;5;2;3;1;3;4;1;4;3;3;3;2;3;3;1;5;1;3;2;2;4;1;5;2;3;4;1;2;2;4;4;3;4;2;3;3;1;3;6;6;7;6;6;5;5;7;7;7
97;4;5;4;3;4;4;4;4;3;4;4;5;3;4;4;4;4;4;3;4;4;4;2;4;4;4;3;4;2;2;3;4;3;3;4;3;4;4;3;3;4;4;4;3;4;4;4;5;3;3;5;6;6;5;6;4;5;5;4;5
98;3;4;3;2;4;4;4;3;2;4;4;4;4;4;3;4;4;4;2;4;4;4;3;2;3;4;3;2;2;4;3;4;3;2;4;2;4;4;2;3;3;3;3;2;4;4;4;3;2;3;7;7;7;7;7;7;6;7;7;7
99;4;2;4;4;4;2;4;5;3;3;4;5;3;4;4;2;4;5;3;3;3;3;5;3;4;2;4;5;2;3;2;3;5;2;4;1;4;5;2;1;1;4;4;3;4;2;4;4;2;4;6;6;6;6;2;6;6;1;3;7
100;4;4;5;3;4;4;4;3;2;4;4;5;4;3;3;3;4;5;1;3;4;4;3;3;4;4;3;3;3;2;3;4;4;3;4;2;4;5;1;3;3;4;4;3;4;4;4;5;1;5;7;7;7;7;7;6;6;6;7;7
101;3;4;2;1;2;3;3;5;5;2;4;5;1;1;3;2;4;5;2;3;3;3;2;1;1;3;2;5;1;5;4;4;4;1;4;2;4;5;1;1;2;3;3;1;1;4;3;2;1;2;7;7;7;7;7;7;7;7;7;7
102;5;5;4;2;4;5;5;4;2;4;5;5;4;4;2;4;5;4;1;3;5;5;5;2;4;4;3;5;1;2;4;5;5;1;4;2;5;5;1;2;2;5;4;2;4;4;5;4;1;4;6;6;6;6;6;6;5;1;5;6
103;4;2;4;4;4;4;4;5;3;2;4;5;4;4;2;4;4;5;2;2;4;4;3;2;4;4;3;5;2;4;2;5;4;2;4;2;4;4;2;2;2;4;4;1;4;3;4;4;2;3;5;5;7;5;7;5;5;1;7;7
104;2;3;3;4;3;2;4;3;4;3;2;4;2;4;2;2;4;2;5;4;2;2;2;4;2;4;3;3;4;2;2;4;4;3;2;1;4;3;2;2;2;3;2;2;4;2;2;2;4;3;4;5;3;3;3;2;2;2;3;3
105;4;5;2;3;4;5;5;3;2;3;4;3;3;4;4;4;4;4;3;3;4;4;3;2;3;4;2;3;2;4;3;5;3;2;4;4;4;4;2;4;4;4;3;3;4;3;4;3;2;3;6;6;6;6;6;5;3;4;4;7
106;5;1;5;3;5;3;3;3;1;3;3;2;5;4;5;3;3;4;4;3;5;1;5;3;5;3;3;3;3;5;3;2;5;5;5;3;5;1;5;5;3;3;3;4;4;4;4;4;1;5;7;7;7;7;7;7;7;7;7;7
107;2;4;4;2;4;4;4;5;3;2;4;3;3;4;2;3;4;5;2;3;4;4;4;3;4;4;4;5;2;4;4;4;5;2;5;4;4;5;2;3;4;4;5;3;3;4;4;5;1;3;6;6;6;6;6;6;6;5;6;6
108;5;4;3;2;4;5;5;3;2;4;5;5;4;3;3;4;4;5;1;3;4;4;4;3;4;4;3;4;2;4;4;4;4;3;4;3;4;5;1;3;5;4;4;3;3;4;4;5;1;5;7;7;7;7;6;7;7;6;6;6
109;3;4;4;1;5;2;5;5;2;4;5;5;4;2;5;4;4;5;1;3;4;1;4;2;4;4;4;5;2;4;4;4;5;2;5;4;4;5;2;2;4;4;4;2;4;4;5;5;4;4;5;6;7;6;7;6;6;6;7;7
110;4;5;4;2;5;5;5;2;3;5;5;5;5;5;5;4;5;4;3;4;4;5;2;2;4;5;5;1;3;5;3;5;3;3;5;4;5;5;2;5;5;5;3;2;4;2;5;5;2;5;6;7;7;7;7;6;6;6;7;7
111;4;4;4;2;3;4;4;2;2;3;4;4;3;3;4;4;4;3;4;3;4;3;2;2;4;4;2;2;2;4;4;4;2;4;4;4;4;3;4;3;2;4;4;4;4;4;4;2;2;4;7;7;7;7;7;7;7;4;7;7
112;3;5;3;3;3;3;5;5;5;3;5;4;5;5;5;2;5;4;2;3;3;4;4;4;3;4;3;4;2;4;3;1;5;3;4;3;4;4;3;2;2;4;4;3;4;2;4;4;1;4;7;7;6;7;6;6;6;2;7;7
